,word,tf
0,继电器,230
1,的,225
2,电流,193
3,电压,171
4,保护,132
5,控制,109
6,电缆,104
7,时间,102
8,装置,96
9,式,90
10,开关,79
11,绝缘,79
12,系统,71
13,母线,70
14,故障,69
15,加热,69
16,电路,68
17,连接器,67
18,电极,65
19,接地,64
20,变压器,61
21,设备,54
22,等离子体,54
23,元件,53
24,接触,52
25,连接,50
26,炉,50
27,特性,49
28,件,49
29,功率,48
30,和,48
31,测量,48
32,回路,48
33,信号,47
34,电源,47
35,输出,46
36,触点,46
37,电阻,45
38,断路器,45
39,电力,45
40,导体,45
41,动词,44
42,感应,43
43,电池,42
44,试验,42
45,器,41
46,辐射,41
47,仪表,39
48,线,39
49,图,38
50,不,38
51,可,38
52,负荷,37
53,隔离,36
54,阻抗,36
55,额定,36
56,型,36
57,运行,35
58,非,35
59,性,35
60,安全,35
61,电容,34
62,输入,34
63,电,34
64,变电站,33
65,系数,33
66,量,33
67,金属,33
68,负载,32
69,晶体管,32
70,最大,32
71,输电,31
72,互感器,31
73,网络,31
74,范围,31
75,线路,30
76,短路,30
77,避雷器,30
78,绝缘子,30
79,二极管,29
80,电弧炉,29
81,堆,29
82,绕组,28
83,与,28
84,工作,28
85,套管,28
86,气体,28
87,补偿,27
88,比,27
89,红外,27
90,率,26
91,自动,26
92,频率,26
93,释放,26
94,介质,26
95,放射性,26
96,温度,25
97,中子,25
98,电离室,25
99,三相,24
100,屏蔽,24
101,因数,24
102,自,23
103,焊接,23
104,接线,23
105,临界,23
106,表面,23
107,电力系统,22
108,交流,22
109,滤波器,22
110,相位,22
111,端,22
112,操作,22
113,充电,22
114,密封,22
115,接头,21
116,函数,21
117,响应,21
118,热,21
119,半导体,21
120,单位,21
121,发生器,21
122,脉冲,21
123,带,21
124,导电,21
125,防护,21
126,放电,21
127,电弧,21
128,电气,21
129,微波,21
130,高压,20
131,同步,20
132,功能,20
133,源,20
134,动作,20
135,放大器,20
136,反向,20
137,电感,20
138,蓄电池,20
139,容量,20
140,燃料,20
141,能力,20
142,监测仪,20
143,发电机,19
144,稳定,19
145,度,19
146,对称,19
147,线圈,19
148,差动,19
149,曲线,19
150,过,19
151,极化,19
152,联结,19
153,励磁,18
154,电容器,18
155,矩阵,18
156,测试,18
157,饱和,18
158,区,18
159,耦合,18
160,平衡,18
161,供电,18
162,端子,18
163,夹,18
164,转换,18
165,裂变,18
166,闸,17
167,固定,17
168,串联,17
169,终端,17
170,表,17
171,状态,17
172,地,17
173,直接,17
174,误差,17
175,效应,17
176,导线,17
177,连续,17
178,安装,17
179,压接,17
180,电抗器,16
181,电动机,16
182,分量,16
183,方向,16
184,增益,16
185,电子,16
186,分段,16
187,室,16
188,值,16
189,辅助,16
190,外壳,16
191,事故,16
192,区域,16
193,加热器,16
194,材料,16
195,层,16
196,发射器,16
197,损耗,15
198,极限,15
199,电位,15
200,理想,15
201,无,15
202,延时,15
203,跳闸,15
204,激励,15
205,对,15
206,主,15
207,或,15
208,外,15
209,单元,15
210,能,15
211,有效,15
212,计数管,15
213,质量,15
214,双,14
215,距离,14
216,谐波,14
217,器件,14
218,重合,14
219,箱,14
220,反应,14
221,空气,14
222,市场,14
223,形容词,14
224,记录仪,14
225,效率,14
226,开关设备,14
227,无功,13
228,直流,13
229,分析,13
230,配电,13
231,及,13
232,技术,13
233,相,13
234,转移,13
235,极,13
236,参数,13
237,合闸,13
238,切换,13
239,电价,13
240,泄漏,13
241,局部,13
242,内,13
243,密度,13
244,电能表,13
245,电热,13
246,粉尘,13
247,作用,13
248,恢复,13
249,霍尔,13
250,术语,13
251,感应器,13
252,炬,13
253,熔化,13
254,工具,13
255,能量,12
256,导纳,12
257,起动,12
258,启动,12
259,点,12
260,小,12
261,板,12
262,控制器,12
263,磁,12
264,复归,12
265,形,12
266,变量,12
267,扫描,12
268,机构,12
269,工艺,12
270,云母,12
271,坩埚,12
272,循环,12
273,长度,12
274,激光,12
275,等,12
276,指数,12
277,纸,12
278,气氛,12
279,低压,11
280,分,11
281,并联,11
282,功率因数,11
283,多,11
284,低电压,11
285,低,11
286,算法,11
287,周期,11
288,继电保护,11
289,瞬态,11
290,参考,11
291,光电,11
292,角,11
293,存储器,11
294,内部,11
295,数字,11
296,发电,11
297,制动,11
298,基准,11
299,顺序,11
300,灭弧,11
301,分离,11
302,管,11
303,有,11
304,间隔,11
305,检查,11
306,用,11
307,权,11
308,单,11
309,极板,11
310,油,11
311,触头,11
312,接端,11
313,基本,11
314,点燃,11
315,照射,11
316,系,11
317,液体,11
318,护套,11
319,部分,11
320,有功,10
321,暂态,10
322,电抗,10
323,波,10
324,振荡,10
325,法,10
326,按钮,10
327,阳极,10
328,门,10
329,触发,10
330,多相,10
331,插座,10
332,屏,10
333,冲击,10
334,积分,10
335,整定,10
336,定时,10
337,照明,10
338,引入,10
339,真空,10
340,灯,10
341,槽,10
342,间接,10
343,超声,10
344,剂量,10
345,注量,10
346,相对,10
347,核,10
348,标度,10
349,组件,10
350,环境,10
351,活度,10
352,指示器,10
353,灵敏度,10
354,闸流,10
355,仪器仪表,10
356,封闭,10
357,开断,10
358,关合,10
359,压,9
360,行波,9
361,可靠,9
362,过电压,9
363,配置,9
364,原理,9
365,总,9
366,中性点,9
367,速度,9
368,转换器,9
369,衰减,9
370,保持,9
371,零,9
372,间隙,9
373,计数,9
374,影响,9
375,最小,9
376,损失,9
377,联锁,9
378,测量仪,9
379,位移,9
380,互联,9
381,条件,9
382,寿命,9
383,户外,9
384,尺,9
385,耐久性,9
386,玻璃,9
387,电子束,9
388,闪烁,9
389,集成电路,9
390,压力,9
391,结构,9
392,空载,8
393,静态,8
394,机,8
395,三,8
396,零序,8
397,转子,8
398,馈线,8
399,显示,8
400,单相,8
401,最高,8
402,附加,8
403,变换,8
404,采样,8
405,备用,8
406,正弦,8
407,谐振,8
408,中间,8
409,正向,8
410,电阻器,8
411,反馈,8
412,整流,8
413,后,8
414,闭锁,8
415,式电流,8
416,瓦斯,8
417,类型,8
418,电磁,8
419,传输,8
420,弧,8
421,管式,8
422,击穿,8
423,闪光,8
424,体,8
425,棒,8
426,压入,8
427,预,8
428,污染,8
429,切割,8
430,约定,8
431,发射,8
432,定向,8
433,本质,8
434,当量,8
435,平均,8
436,场效应,8
437,户内,8
438,孔,8
439,计,8
440,复,8
441,冷却,8
442,二端,8
443,增殖,8
444,反应堆,8
445,维护,8
446,正压,8
447,人员,8
448,因子,8
449,反射,8
450,自由,8
451,离子,8
452,微分,8
453,力,8
454,处理,8
455,光,8
456,面积,8
457,感应炉,8
458,输送,7
459,定子,7
460,标准,7
461,快速,7
462,控制系统,7
463,模拟,7
464,稳态,7
465,开路,7
466,直流电,7
467,磁通,7
468,扩散,7
469,阴极,7
470,比较,7
471,对数,7
472,数,7
473,通道,7
474,晶闸管,7
475,组合,7
476,计数器,7
477,转矩,7
478,同轴,7
479,固体,7
480,电气设备,7
481,电能,7
482,总线,7
483,支架,7
484,偏移,7
485,欠,7
486,动,7
487,位置,7
488,过载,7
489,负,7
490,定位,7
491,报警,7
492,类别,7
493,节点,7
494,组,7
495,插头,7
496,引线,7
497,强迫,7
498,支柱,7
499,掉,7
500,三极,7
501,指示,7
502,示波器,7
503,填充,7
504,绕接,7
505,机械,7
506,级,7
507,气相,7
508,沉积,7
509,使用,7
510,体积,7
511,限制,7
512,浸渍,7
513,过程,7
514,树脂,7
515,收集,7
516,符合,7
517,峰,7
518,探测器,7
519,混合物,7
520,核反应堆,7
521,一般,7
522,噪声,7
523,端口,7
524,均匀,7
525,爆炸性,7
526,物质,7
527,锌,7
528,导抗,7
529,能级,7
530,方,7
531,格距,7
532,检流计,7
533,绝缘油,7
534,布置,7
535,架,6
536,自动化,6
537,数据,6
538,用户,6
539,转速,6
540,停机,6
541,基础,6
542,设计,6
543,中断,6
544,感性,6
545,栅极,6
546,偏置,6
547,放大,6
548,动态,6
549,旁路,6
550,通路,6
551,开环,6
552,稳定性,6
553,逻辑,6
554,复位,6
555,实验,6
556,电机,6
557,力矩,6
558,间,6
559,线性,6
560,场,6
561,时,6
562,变换器,6
563,交叉,6
564,高频,6
565,软,6
566,二次,6
567,保护装置,6
568,纵联,6
569,耦,6
570,反,6
571,方程,6
572,分支,6
573,重,6
574,环形,6
575,曲面,6
576,带电,6
577,全,6
578,返回,6
579,-,6
580,协议,6
581,物理,6
582,组织,6
583,次,6
584,降,6
585,耐,6
586,柜,6
587,白,6
588,套,6
589,计量,6
590,机架,6
591,弹性,6
592,荷电,6
593,焊炬,6
594,彩色,6
595,分闸,6
596,流,6
597,电离,6
598,剩余,6
599,筒,6
600,粒子,6
601,辉光,6
602,失效,6
603,富集,6
604,谱,6
605,恒压,6
606,液态,6
607,机柜,6
608,特,6
609,隧道,6
610,耐热,6
611,贮存,6
612,名词,6
613,可燃性,6
614,吸收,6
615,合格,6
616,比值,6
617,元素,6
618,啮合,6
619,探测,6
620,非对称,6
621,等效,6
622,链,6
623,盐浴,6
624,电加热,6
625,设施,6
626,复合物,6
627,标称,6
628,破损,6
629,螺纹,6
630,布线,6
631,电子枪,6
632,钎焊,6
633,模块,6
634,平面,6
635,操动,6
636,中,5
637,调节,5
638,裕度,5
639,等级,5
640,电导,5
641,上限,5
642,下限,5
643,有用,5
644,阻尼,5
645,选择,5
646,高,5
647,电压表,5
648,适应,5
649,波形,5
650,工频,5
651,三角形,5
652,无源,5
653,失真,5
654,模型,5
655,断路,5
656,星形,5
657,强度,5
658,异步电动,5
659,合,5
660,动断,5
661,氧化物,5
662,变阻器,5
663,电感器,5
664,中心,5
665,阶跃,5
666,可控,5
667,双向,5
668,驱动,5
669,磁化,5
670,载波,5
671,调节器,5
672,手动,5
673,过流,5
674,硬,5
675,联络,5
676,比率,5
677,计算,5
678,扰动,5
679,加速,5
680,灵敏,5
681,滞后,5
682,黑,5
683,二,5
684,静电,5
685,复合,5
686,持续,5
687,正交,5
688,检测,5
689,不可,5
690,窗,5
691,逆,5
692,合成,5
693,可用,5
694,基于,5
695,服务,5
696,阻塞,5
697,实时,5
698,上,5
699,插接,5
700,干线,5
701,出线,5
702,动力,5
703,配电箱,5
704,控制箱,5
705,盒,5
706,盘,5
707,双极,5
708,照明灯,5
709,紧急,5
710,荧光灯,5
711,网,5
712,引,5
713,交流电,5
714,电桥,5
715,塑料,5
716,电线,5
717,移动,5
718,外部,5
719,型号,5
720,防,5
721,面板,5
722,浮动,5
723,极性,5
724,气,5
725,卡,5
726,应力,5
727,偏转,5
728,短时,5
729,盖,5
730,插入,5
731,影像,5
732,化学,5
733,恒流,5
734,淬火,5
735,口,5
736,喷嘴,5
737,极限值,5
738,整体,5
739,通态,5
740,炉顶,5
741,阻止本领,5
742,纸板,5
743,费米,5
744,程序,5
745,深度,5
746,电荷,5
747,标量,5
748,垂直,5
749,杂质,5
750,记录,5
751,导向,5
752,跟踪,5
753,参比,5
754,爆炸,5
755,剂量计,5
756,电场,5
757,电阻加热,5
758,雪崩,5
759,电导率,5
760,导管,5
761,伴热,5
762,最低,5
763,回复,5
764,工作制,5
765,随机,5
766,活性,5
767,确定,5
768,分隔,5
769,盐,5
770,子,5
771,服务器,5
772,命令,5
773,锂,5
774,重熔,5
775,提供,5
776,灯泡,5
777,侧,4
778,输电线,4
779,并,4
780,补偿器,4
781,下降,4
782,传递函数,4
783,均,4
784,有效值,4
785,执行,4
786,管理系统,4
787,控制室,4
788,管理,4
789,机组,4
790,相电流,4
791,非线性,4
792,运算,4
793,生产,4
794,应用,4
795,方式,4
796,支路,4
797,截止频率,4
798,频带,4
799,制,4
800,磁阻,4
801,额定功率,4
802,常闭,4
803,可编程,4
804,载流子,4
805,倍数,4
806,截止,4
807,共模,4
808,切,4
809,闭环,4
810,频率响应,4
811,电平,4
812,集成,4
813,显示器,4
814,触发器,4
815,寄存器,4
816,双稳态,4
817,晶体,4
818,铁芯,4
819,环,4
820,锁定,4
821,电枢,4
822,分路,4
823,气隙,4
824,互感,4
825,相关,4
826,配合,4
827,重叠,4
828,汇流,4
829,管道,4
830,保护器,4
831,相角,4
832,瓷,4
833,闪络,4
834,时限,4
835,潮流,4
836,远程,4
837,判据,4
838,解除,4
839,允许,4
840,接口,4
841,一次,4
842,机电,4
843,异常,4
844,传感器,4
845,火花,4
846,断开,4
847,开关柜,4
848,引出,4
849,电解质,4
850,信息,4
851,低频,4
852,连锁,4
853,电器,4
854,过热,4
855,快,4
856,选择器,4
857,半,4
858,接点,4
859,具有,4
860,初始,4
861,商,4
862,矿物,4
863,独立,4
864,边际,4
865,接入,4
866,模式,4
867,保安,4
868,电阻率,4
869,瞬时,4
870,中性线,4
871,专用,4
872,转换开关,4
873,防爆,4
874,起动器,4
875,工厂,4
876,特殊,4
877,电流表,4
878,电度表,4
879,电动,4
880,避雷针,4
881,人工,4
882,维修,4
883,大,4
884,剂,4
885,接线图,4
886,截面,4
887,编号,4
888,号,4
889,平行,4
890,插拔,4
891,连接件,4
892,插,4
893,动合,4
894,老化,4
895,机箱,4
896,变频器,4
897,浇铸,4
898,中性,4
899,光谱,4
900,缓发,4
901,生长,4
902,比释,4
903,动能,4
904,同时,4
905,废物,4
906,透射,4
907,密度计,4
908,浸入,4
909,出料,4
910,正比,4
911,等离子,4
912,专业,4
913,通风,4
914,水冷,4
915,碰撞,4
916,慢化,4
917,聚焦,4
918,准确度,4
919,部件,4
920,调整,4
921,电击,4
922,输出功率,4
923,规定,4
924,端头,4
925,高温,4
926,危险,4
927,有载,4
928,浇封,4
929,事件,4
930,堆芯,4
931,时基,4
932,时间误差,4
933,固有,4
934,俘获,4
935,量限,4
936,束,4
937,激光束,4
938,紧固件,4
939,一致性,4
940,焊丝,4
941,空腔,4
942,生物,4
943,炉料,4
944,锅炉,4
945,计算机,4
946,插件,4
947,基波,4
948,静止,4
949,空间,4
950,修理,4
951,环境温度,4
952,转接,4
953,同心,4
954,阈,4
955,敏感,4
956,分辨率,4
957,仪器,4
958,爬,4
959,符号,4
960,目标,4
961,灰度,4
962,图像,4
963,干燥,4
964,枪,4
965,观察,4
966,引弧,4
967,臂,4
968,附件,4
969,焊钳,4
970,互换,4
971,未,4
972,端接,4
973,精炼,4
974,电解,4
975,易,4
976,应急,4
977,嵌入,4
978,滑道,4
979,伸缩式,4
980,半波,4
981,阻,4
982,同,4
983,聚合物,4
984,分布,4
985,段,4
986,放射源,4
987,热中子,4
988,量子数,4
989,核素,4
990,真空炉,4
991,分接,4
992,升压,3
993,功角,3
994,电网,3
995,遥测,3
996,切除,3
997,停电,3
998,采集,3
999,监视,3
1000,百分比,3
1001,相电压,3
1002,正常,3
1003,发电机组,3
1004,超高压,3
1005,减法,3
1006,规则,3
1007,优化,3
1008,有源,3
1009,基尔霍夫,3
1010,定律,3
1011,共振,3
1012,电动势,3
1013,二端网络,3
1014,定理,3
1015,角频率,3
1016,磁场,3
1017,接触器,3
1018,本征,3
1019,漂移,3
1020,集电极,3
1021,沟道,3
1022,耗尽,3
1023,负反馈,3
1024,跟随,3
1025,抑制,3
1026,漏,3
1027,振荡器,3
1028,幅度,3
1029,交越,3
1030,稳压电源,3
1031,可控硅,3
1032,移位,3
1033,异步,3
1034,清,3
1035,无功功率,3
1036,叠片,3
1037,合金,3
1038,磁电,3
1039,抗,3
1040,调幅,3
1041,周波,3
1042,后备,3
1043,可靠性,3
1044,相间,3
1045,压板,3
1046,条,3
1047,漏电,3
1048,差,3
1049,消耗,3
1050,过压,3
1051,帽,3
1052,失步,3
1053,导引,3
1054,接受,3
1055,出口,3
1056,两相,3
1057,回,3
1058,接地系统,3
1059,矩形,3
1060,额定值,3
1061,罩,3
1062,电动式,3
1063,多重,3
1064,过渡,3
1065,两,3
1066,电势,3
1067,峰值,3
1068,遥控,3
1069,按,3
1070,识别,3
1071,失效率,3
1072,常开,3
1073,传输线,3
1074,预测,3
1075,姆,3
1076,欧,3
1077,排,3
1078,相同,3
1079,激磁,3
1080,振动,3
1081,合同,3
1082,资源,3
1083,计划,3
1084,调频,3
1085,切断,3
1086,有限,3
1087,灯丝,3
1088,载,3
1089,流量,3
1090,装在,3
1091,预告,3
1092,接地线,3
1093,控制台,3
1094,调压器,3
1095,明装,3
1096,调压,3
1097,伺服,3
1098,嵌入式,3
1099,脱扣,3
1100,投入,3
1101,开,3
1102,功率表,3
1103,避雷,3
1104,氧化,3
1105,雷击,3
1106,雷电,3
1107,下线,3
1108,漆,3
1109,绝缘线,3
1110,镀锌,3
1111,原理图,3
1112,框架,3
1113,用电,3
1114,开口,3
1115,下,3
1116,排列,3
1117,圆形,3
1118,刺破,3
1119,紧固,3
1120,势垒,3
1121,热电偶,3
1122,气溶胶,3
1123,空气污染,3
1124,对流,3
1125,换能器,3
1126,成套,3
1127,透热,3
1128,陶瓷,3
1129,微粒,3
1130,校正器,3
1131,分辨时间,3
1132,双金属,3
1133,光敏,3
1134,排烟,3
1135,猝灭,3
1136,校准,3
1137,结晶器,3
1138,瞬发,3
1139,熔,3
1140,软件,3
1141,率仪,3
1142,破坏性,3
1143,混合,3
1144,停堆,3
1145,电痕化,3
1146,程度,3
1147,散射,3
1148,辐射能,3
1149,原子,3
1150,单极,3
1151,隔爆,3
1152,淬,3
1153,反冲,3
1154,盖革,3
1155,米勒,3
1156,倍增,3
1157,型式,3
1158,伴热器,3
1159,工业,3
1160,最终,3
1161,实际,3
1162,变差,3
1163,验证,3
1164,退火,3
1165,预期,3
1166,上升率,3
1167,容积,3
1168,零位,3
1169,稀释,3
1170,预热,3
1171,预热器,3
1172,接触点,3
1173,蒸气,3
1174,一览表,3
1175,壳体,3
1176,质子,3
1177,供给,3
1178,鉴定,3
1179,性能,3
1180,天然,3
1181,热释光,3
1182,斜坡,3
1183,特征,3
1184,液,3
1185,重要,3
1186,板装,3
1187,拼接,3
1188,外罩,3
1189,施主,3
1190,针式,3
1191,活化,3
1192,仪,3
1193,厚度,3
1194,重现,3
1195,物,3
1196,检验,3
1197,阻断,3
1198,焊条,3
1199,目视,3
1200,全身,3
1201,弹性体,3
1202,端点,3
1203,产额,3
1204,波动,3
1205,气候,3
1206,空心,3
1207,谐振腔,3
1208,多功能,3
1209,埋弧,3
1210,牵引,3
1211,粘合,3
1212,浮置,3
1213,规范,3
1214,衰减系数,3
1215,时钟,3
1216,送丝,3
1217,兼容性,3
1218,毒物,3
1219,会议,3
1220,限能,3
1221,报警器,3
1222,极端,3
1223,限量,3
1224,镀层,3
1225,含量,3
1226,排出,3
1227,包壳,3
1228,冷却剂,3
1229,监测,3
1230,荧光,3
1231,随动,3
1232,水平,3
1233,限幅,3
1234,道,3
1235,可燃,3
1236,通过,3
1237,工件,3
1238,液位,3
1239,电气系统,3
1240,简单,3
1241,景物,3
1242,径向,3
1243,沟槽,3
1244,冷却系统,3
1245,导轨,3
1246,热合,3
1247,干燥器,3
1248,反射器,3
1249,冷,3
1250,点火,3
1251,射流,3
1252,激光器,3
1253,电弧焊,3
1254,装备,3
1255,稳弧,3
1256,静,3
1257,间距,3
1258,焊枪,3
1259,内容,3
1260,介子,3
1261,被,3
1262,差值,3
1263,结,3
1264,半导体器件,3
1265,探头,3
1266,支撑,3
1267,接线柱,3
1268,尺寸,3
1269,正,3
1270,分析仪,3
1271,分析器,3
1272,几何,3
1273,辐照,3
1274,镉,3
1275,镍,3
1276,干式,3
1277,法线,3
1278,销,3
1279,已,3
1280,包,3
1281,氧枪,3
1282,读数,3
1283,狄拉克,3
1284,玻尔兹曼,3
1285,保温,3
1286,链接,3
1287,再,3
1288,匹配,3
1289,局域网,3
1290,回火,3
1291,炉衬,3
1292,辐射源,3
1293,控制结构,3
1294,关于,3
1295,运营商,3
1296,通电,3
1297,封线体,3
1298,形成,3
1299,熔融,3
1300,聚乙烯,3
1301,电阻炉,3
1302,概念,3
1303,热处理,3
1304,核反应,3
1305,关系,3
1306,配电柜,3
1307,保险丝,3
1308,六氟化硫,3
1309,柱上,3
1310,行程,3
1311,电厂,2
1312,端电压,2
1313,刀,2
1314,负序,2
1315,无穷大,2
1316,仿真,2
1317,输入输出,2
1318,远方,2
1319,需求,2
1320,每,2
1321,中线,2
1322,千瓦,2
1323,小时,2
1324,超速,2
1325,油压,2
1326,选择键,2
1327,模糊,2
1328,适应控制,2
1329,相反,2
1330,延迟,2
1331,等值,2
1332,波阻抗,2
1333,隶属,2
1334,模糊推理,2
1335,全面,2
1336,电子器件,2
1337,拖动,2
1338,最优化,2
1339,规划,2
1340,系统分析,2
1341,经济,2
1342,系统可靠性,2
1343,系统优化,2
1344,远动,2
1345,迭代,2
1346,整流器,2
1347,功耗,2
1348,畸变,2
1349,产生,2
1350,铭牌,2
1351,待机,2
1352,伏安,2
1353,电位差,2
1354,结点,2
1355,网孔,2
1356,路,2
1357,交流电路,2
1358,复数,2
1359,初,2
1360,倒,2
1361,通,2
1362,带宽,2
1363,一阶,2
1364,波特,2
1365,三线,2
1366,四线,2
1367,时间常数,2
1368,磁路,2
1369,额定电流,2
1370,熔断器,2
1371,掺杂,2
1372,发光,2
1373,三极管,2
1374,场效应管,2
1375,增强型,2
1376,热敏电阻,2
1377,零点,2
1378,电位器,2
1379,差模,2
1380,频响,2
1381,锁相环,2
1382,正弦波,2
1383,三角,2
1384,稳压器,2
1385,峰点,2
1386,逻辑电路,2
1387,时序,2
1388,置位,2
1389,沿,2
1390,单稳态,2
1391,模拟信号,2
1392,数字信号,2
1393,无刷,2
1394,直流电机,2
1395,电磁场,2
1396,微机,2
1397,电气工程,2
1398,感应式,2
1399,左手,2
1400,鼠笼,2
1401,满载,2
1402,涌流,2
1403,他励,2
1404,光纤,2
1405,波导,2
1406,结合,2
1407,传播,2
1408,调制器,2
1409,增压,2
1410,极点,2
1411,失配,2
1412,去,2
1413,自励,2
1414,死,2
1415,速动,2
1416,断线,2
1417,换流器,2
1418,因素,2
1419,串,2
1420,角形,2
1421,托架,2
1422,保证,2
1423,定,2
1424,限时,2
1425,限流,2
1426,估计,2
1427,轨迹,2
1428,干扰,2
1429,阶段,2
1430,速断,2
1431,高速,2
1432,录波器,2
1433,特性阻抗,2
1434,轻,2
1435,于,2
1436,突变,2
1437,增量,2
1438,级数,2
1439,额定负载,2
1440,内阻,2
1441,分裂,2
1442,交,2
1443,集中,2
1444,拓补,2
1445,报警信号,2
1446,电子管,2
1447,断,2
1448,不足,2
1449,密闭,2
1450,失磁,2
1451,绝对,2
1452,吹,2
1453,继电,2
1454,停止,2
1455,自激,2
1456,安全性,2
1457,变流器,2
1458,共用,2
1459,信号处理,2
1460,通讯,2
1461,圆,2
1462,电力线,2
1463,并行,2
1464,绝对值,2
1465,精确,2
1466,工作电压,2
1467,单相接地,2
1468,气动,2
1469,衔铁,2
1470,合式,2
1471,夹式,2
1472,年,2
1473,分区,2
1474,期,2
1475,热电,2
1476,再生能源,2
1477,企业,2
1478,金融,2
1479,关口,2
1480,报价,2
1481,输电网,2
1482,概率,2
1483,出,2
1484,价格,2
1485,日,2
1486,　,2
1487,交易所,2
1488,地区,2
1489,目录,2
1490,要求,2
1491,交直流,2
1492,起始,2
1493,残留,2
1494,相序,2
1495,校正,2
1496,测温,2
1497,阀,2
1498,开度计,2
1499,停车,2
1500,单线,2
1501,低压配电,2
1502,铁壳,2
1503,自动开关,2
1504,钮,2
1505,气密,2
1506,选择开关,2
1507,现场,2
1508,音响,2
1509,磁力,2
1510,降压,2
1511,柴油,2
1512,暗装,2
1513,搪瓷,2
1514,深照,2
1515,防水,2
1516,防尘,2
1517,弯灯,2
1518,白炽灯,2
1519,路灯,2
1520,分励,2
